References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	Newark	Farnell
S1	1	Pushbutton Switch	Panasonic	EVQ-PAG07K	TE Connectivity	FSM5JH	P12196S-ND	EVQ-PAG07K	52W2478	2610954
IC1	1	LM7805 Voltage Regulator	Fairchild Semiconductor	LM7805ACT			LM7805ACT-ND	LM7805ACT	86K1590	2296047
Q1	1	16mhz Crystal	Fox Electronics	FOXSLF/160-20	MULTICOMP	HC49S-16-30-50-70-30-ATF	631-1108-ND	FOXSLF/160-20	58T1826	1667003
IC2	1	ATMEGA328P	Microchip	ATMEGA328-PU			ATMEGA328-PU-ND	ATMEGA328-PU	68T2932	1972087
D1	1	1N4004 Diode	ON Semiconductor	1N4004G			1N4004GOS-ND	863-1N4004G	42K2822	1651084
"C1, C2"	2	10 uf Electrolytic Capacitor	Panasonic	ECE-A1VKS100			P980-ND	ECE-A1VKS100	55T0262	1902010
"R2, R3"	2	1k Resistor	Panasonic	ERG-1SJ102			P1.0KW-1BK-ND	ERG-1SJ102	52W6823	2324488
J1	1	DC Power Jack	Switchcraft	RAPC712BK			SC1863-ND	RAPC712BK	03M4244	2579769
"JP1, JP2, JP3, JP4, JP5"	1	Single row Male headers	TE Connectivity	5-826947-0	TE Connectivity	5-825433-0	A105203-ND	5-826947-0	 98K9591	1580058
"C4, C5"	2	22pf Ceramic Capacitor	Vishay BCcomponents	S220K25SL0N63L6R	MULTICOMP	MCCHU5220J5	1270PH-ND	S220K25SL0N63L6R	92K9515	9411674
"C3, C6"	2	0.1 uf Ceramic Capacitor	Vishay	K104K10X7RF5UH5	MULTICOMP	MCCC50V104KY5P	BC2665CT-ND	K104K10X7RF5UH5	97M4053	2507749
R1	1	10k Resistor	Vishay	MRS25000C1002FCT00	MULTICOMP	MCF 1W 10K	BC3326CT-ND	MRS25000C1002FCT00	38K0401	9463976
"LED1, LED2"	2	LED 5MM	Vishay	TLUV5300			TLUV5300-ND	TLUV5300	33C1443	1045375
